TP,SI,GN,PE,TQM1,TQM2,TQM3,TQM4,TQM5,TQM6,RFT1,RFT2,RFT3,RFT4,RFT5,RFT6,RFT7,W1,W2,W3,W4,W5,W6,W7,W8,BRC1,BRC2,BRC3,BRC4,BRC5,BRC6,BRC7
5,1,2,2,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4
2,8,1,3,5,5,5,4,5,6,5,5,4,3,4,6,5,2,2,3,4,4,5,5,5,2,2,3,5,3,6,6
1,6,1,3,4,5,5,4,4,5,4,4,5,4,5,5,6,5,1,2,4,5,6,5,4,4,3,4,4,5,4,4
1,1,1,4,5,2,5,5,5,5,3,3,6,6,3,3,4,4,6,6,1,1,2,2,4,5,6,4,3,5,5,5
4,1,2,3,6,6,6,6,6,6,6,5,5,5,5,5,6,4,4,4,4,4,4,4,4,6,6,4,4,6,5,5
1,1,1,4,5,4,5,2,5,4,5,3,1,1,4,2,6,4,2,5,4,5,2,2,4,2,2,3,3,1,3,4
1,1,2,4,6,4,5,5,6,5,6,5,4,6,4,6,4,4,4,6,5,5,5,4,5,3,3,5,4,4,4,4
1,3,2,3,5,5,6,5,4,5,5,5,5,6,5,5,5,5,4,4,4,4,5,5,5,5,6,5,5,5,4,4
1,1,1,4,5,4,4,5,4,5,5,3,3,2,3,2,3,2,3,3,3,3,3,2,2,4,4,4,4,5,5,5
2,5,1,3,6,6,5,6,6,5,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
3,1,2,3,5,4,6,5,6,6,4,5,5,3,5,4,5,4,3,4,3,4,5,5,5,5,5,4,4,6,6,6
3,1,1,3,6,6,5,5,6,6,6,5,5,5,5,5,5,4,4,5,3,3,4,4,4,5,4,5,5,4,4,4
3,1,1,3,5,5,6,5,5,6,4,4,4,6,6,6,6,6,4,4,4,5,5,5,5,6,6,6,6,6,6,6
1,1,2,4,6,5,5,4,5,5,3,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5
1,5,2,3,4,4,3,3,3,4,6,3,2,3,4,2,1,4,4,4,2,2,2,6,1,5,5,4,5,5,5,2
4,7,2,2,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4
1,7,2,2,5,4,4,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
3,7,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,3,3,6,4,4,4,4,4,4,4,6
3,7,2,2,6,6,6,5,6,6,5,6,6,6,6,6,6,1,3,3,4,5,3,5,5,3,3,3,3,3,3,3
5,7,2,3,4,5,4,5,4,5,6,4,4,5,5,4,5,6,6,4,3,4,5,6,5,3,4,4,3,3,3,5
1,7,2,3,5,4,6,5,5,5,5,5,5,5,5,5,6,5,4,4,5,5,4,5,5,5,5,5,5,5,5,3
1,7,2,3,5,5,6,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,5,4,4,4,5,5,5,5
1,7,1,3,6,6,6,6,6,6,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,7,1,2,6,6,6,6,6,6,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,1,2,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,7,2,2,5,4,5,5,4,6,6,5,5,6,5,5,5,5,4,5,4,5,4,5,5,5,5,4,4,5,6,6
1,7,1,3,5,5,3,5,5,6,5,5,6,4,5,5,5,5,5,6,6,5,5,6,6,6,5,6,6,4,4,5
1,1,2,3,4,5,5,5,4,3,4,4,4,3,5,5,5,4,4,4,5,5,3,4,5,2,4,4,5,3,3,3
3,4,2,3,6,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,3,5,6,5,5,5,5,5,5,6,5,5,3,4,2,4,4,4,5,3,6,5,4,4,4,5,5,4,6
2,7,2,3,5,5,6,5,6,5,5,5,6,5,6,6,5,5,4,4,4,5,5,6,5,5,5,6,4,4,4,4
3,7,2,3,4,5,6,4,5,5,5,4,5,6,6,6,5,5,4,3,3,4,4,5,5,3,4,3,3,3,2,3
2,7,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,7,2,3,5,5,5,4,6,6,6,5,5,5,5,6,6,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6
5,7,2,1,6,6,6,4,5,5,4,4,3,5,3,4,6,4,3,4,3,5,3,4,4,3,3,5,5,5,4,5
2,7,2,3,5,5,5,5,5,5,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,7,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,7,2,3,5,5,6,5,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
2,7,2,2,5,5,4,5,6,5,5,5,5,5,4,4,4,5,5,5,4,5,4,4,4,4,4,5,4,3,4,5
2,1,1,3,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,6,5,5,4,3,3,5,3,5,5
1,1,2,3,5,5,5,6,5,5,6,5,6,6,6,5,5,4,4,5,5,5,4,6,5,3,3,4,4,4,5,4
5,1,2,3,6,6,5,6,5,6,5,5,5,6,5,5,6,5,5,5,5,5,5,6,6,6,6,5,6,6,5,5
5,1,2,2,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
1,1,2,3,5,5,5,5,5,6,2,4,4,4,4,4,4,3,3,3,3,4,4,3,3,5,4,4,4,4,4,4
5,1,2,2,5,5,6,6,5,5,2,3,3,3,3,3,4,3,3,4,3,4,4,3,3,5,4,4,4,4,4,4
2,1,2,2,5,5,5,5,5,4,4,6,4,5,4,6,5,6,5,6,6,5,5,5,4,6,6,6,5,5,5,6
2,7,2,2,4,5,4,6,6,6,4,4,4,5,5,4,4,5,5,4,2,5,5,5,5,4,4,3,5,4,4,4
3,7,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6
4,7,2,2,6,6,6,6,6,6,5,6,5,5,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
4,7,1,3,5,5,6,6,6,6,4,4,4,5,5,5,5,5,5,4,5,5,5,5,6,5,4,5,5,5,5,5
1,7,1,3,6,5,5,3,5,5,4,4,4,6,5,5,5,4,4,3,3,3,3,3,5,4,4,4,4,3,3,3
5,7,2,2,5,6,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5,4,5,4,5,6,6,5,5,5,5
2,7,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,1,2,3,6,5,6,6,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6,6,6,5,6,6,5,5,5,5
3,1,2,6,6,5,5,6,5,6,6,6,6,4,4,4,6,5,4,5,6,6,4,6,6,4,4,4,5,4,4,4
3,7,2,3,5,6,6,5,6,6,5,5,5,5,6,5,5,4,4,4,4,5,5,5,5,6,6,6,6,6,5,5
1,7,1,6,6,6,6,6,5,5,6,6,5,6,6,4,6,5,2,5,5,6,5,6,5,5,6,6,6,5,5,5
2,7,2,2,6,5,6,6,6,6,5,4,4,6,6,6,6,4,5,4,6,6,5,5,5,5,5,6,6,6,6,5
4,1,2,3,5,2,2,2,5,2,2,4,2,1,1,4,4,1,4,4,5,2,5,5,5,5,5,5,5,5,5,5
3,1,2,2,6,5,5,5,5,5,6,6,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4
1,7,1,3,4,4,6,4,6,4,5,5,6,6,6,6,6,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5
3,7,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,5,6,6,6,6
2,7,1,2,6,4,5,5,6,4,5,3,5,4,6,5,5,4,5,3,3,4,5,4,4,5,5,5,5,4,5,5
3,1,2,2,6,3,6,3,6,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,6,6,6,6,6,5,5
4,1,2,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,7,2,2,5,4,5,5,4,6,6,5,5,6,5,5,5,5,4,5,4,5,4,5,5,5,5,4,4,5,6,6
1,7,1,3,5,5,3,5,5,6,5,5,6,4,5,5,5,5,5,6,6,5,5,6,6,6,5,6,6,4,4,5
1,1,2,3,4,5,5,5,4,3,4,4,4,3,5,5,5,4,4,4,5,5,3,4,5,2,4,4,5,3,3,3
3,4,2,3,6,6,6,6,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,3,5,6,5,5,5,5,5,5,6,5,5,3,4,2,4,4,4,5,3,6,5,4,4,4,5,5,4,6
2,7,2,3,5,5,6,5,6,5,5,5,6,5,6,6,5,5,4,4,4,5,5,6,5,5,5,6,4,4,4,4
3,7,2,3,4,5,6,4,5,5,5,4,5,6,6,6,5,5,4,3,3,4,4,5,5,3,4,3,3,3,2,3
3,1,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,8,2,2,5,2,2,3,5,2,5,5,2,5,5,6,5,2,4,2,1,5,1,5,6,2,2,3,4,4,3,5
3,8,1,2,6,6,6,6,6,6,5,5,5,6,3,3,5,5,3,3,3,3,1,4,3,3,6,3,3,3,3,3
1,8,1,3,4,4,3,4,5,5,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4
3,3,2,3,6,5,5,4,6,6,6,6,5,5,6,6,6,6,5,6,5,6,5,5,5,6,4,5,6,6,5,5
1,8,2,1,6,5,5,6,6,4,5,4,5,5,5,5,5,5,4,4,5,5,6,5,6,5,5,5,5,4,5,4
1,1,2,2,4,4,6,6,6,4,4,3,4,4,3,5,3,3,3,4,2,2,1,1,2,3,3,3,3,2,2,3
3,8,2,2,6,6,6,6,6,5,6,5,5,6,6,5,5,5,4,5,3,5,3,5,5,5,5,5,3,5,5,4
5,1,2,2,6,6,4,5,5,3,5,4,5,5,4,4,4,4,5,4,4,3,5,5,5,5,5,3,2,2,5,4
4,8,2,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,8,2,2,6,5,6,5,6,5,4,5,6,6,6,6,5,6,5,6,3,6,5,5,6,6,5,5,6,6,6,6
4,8,2,1,5,4,5,6,5,4,5,5,5,4,5,4,6,5,4,5,5,4,6,4,5,5,5,4,4,5,5,6
3,8,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4
4,8,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,5,6,6,6,6,3,3,5,5,5,5,6
1,8,2,2,5,4,5,4,5,5,6,6,4,5,6,5,5,5,4,4,5,5,6,6,4,5,4,4,4,3,4,4
4,8,1,3,3,3,3,3,4,3,2,3,3,3,2,2,4,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1
3,8,1,4,4,4,5,3,5,4,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2
3,8,1,4,4,4,5,3,5,4,3,3,3,3,3,3,5,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2
4,8,2,1,5,5,6,5,6,5,5,5,5,5,5,5,5,4,4,5,3,4,4,4,4,6,3,4,3,4,4,4
4,1,2,2,4,4,5,5,5,4,4,4,5,4,4,5,5,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3
3,8,1,1,5,5,6,4,5,6,4,6,5,5,5,5,5,5,5,6,6,5,5,5,6,5,5,5,5,6,6,4
1,7,1,4,4,4,3,4,3,4,4,5,5,4,5,4,4,5,5,5,4,4,4,5,4,4,3,3,3,4,3,4
1,8,2,4,5,5,6,6,6,6,5,4,6,6,6,1,6,5,5,6,4,5,3,6,2,5,6,4,4,6,6,5
5,1,2,3,1,3,3,2,5,5,5,5,5,4,5,4,5,5,5,5,4,4,6,4,5,5,4,5,5,5,5,5
5,1,2,1,2,6,3,5,6,3,1,3,1,4,6,6,5,4,3,3,3,5,5,5,3,4,3,4,3,4,6,6
1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
3,1,1,3,3,3,4,4,4,2,4,2,1,1,1,1,1,3,3,3,1,1,1,1,1,2,2,2,5,4,1,5
2,1,2,2,5,4,5,4,4,3,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,3,3,3,3,5,4,4
3,1,2,3,4,3,5,4,3,5,4,5,5,5,3,5,6,4,3,5,4,4,3,4,4,5,4,3,5,4,3,5
1,5,2,3,6,4,6,4,5,5,6,6,5,5,4,6,6,5,4,4,5,5,4,4,4,6,6,6,6,6,6,6
2,1,2,3,5,4,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,5,6,6,4,4,4,5,4,4
1,1,2,3,5,5,5,6,6,5,3,4,6,4,4,3,6,4,4,6,6,4,3,5,4,4,3,3,3,5,4,4
1,1,1,3,4,4,5,4,5,4,3,3,4,3,3,4,6,4,1,4,5,5,4,5,4,5,4,2,2,4,4,4
3,1,2,3,4,3,6,5,5,6,4,5,6,3,1,2,6,5,5,6,6,4,4,6,5,6,6,6,6,5,5,5
3,1,2,3,4,3,6,5,5,6,4,5,6,3,1,2,6,5,5,6,6,4,4,6,5,6,6,6,6,5,5,5
3,1,2,2,4,4,5,6,5,5,4,5,4,5,4,5,5,5,4,3,3,2,4,5,4,4,4,5,4,5,4,4
3,1,2,2,6,6,4,4,5,5,5,5,5,5,5,4,5,4,6,4,5,5,5,6,6,5,6,5,5,4,5,5
3,1,2,3,5,4,4,4,4,5,5,6,5,5,6,5,5,4,6,5,5,6,6,5,4,4,3,3,4,4,4,4
4,7,1,2,5,4,4,5,6,6,5,6,6,5,4,5,5,5,5,5,4,6,5,4,4,6,4,5,5,4,5,6
4,1,2,3,6,3,3,3,3,4,5,3,4,3,5,4,4,5,6,4,5,5,6,4,4,5,4,6,4,5,6,4
3,1,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
3,1,2,3,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6
3,1,1,2,6,5,5,4,5,4,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,4,6,5,6,5,5,5
3,1,2,2,5,5,5,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,6,6
3,4,2,2,5,4,4,5,5,5,5,5,6,5,4,3,5,6,5,4,4,5,5,5,6,5,5,5,5,5,6,5
3,8,1,3,5,6,4,6,6,4,5,6,5,5,4,2,5,4,3,5,3,2,1,5,5,4,6,4,4,6,6,5
2,1,1,2,3,4,5,5,3,3,4,3,3,4,3,4,4,3,5,4,4,3,4,3,3,4,4,4,4,4,4,4
5,4,2,2,6,6,6,5,6,4,5,5,5,5,6,5,5,5,5,5,5,5,5,6,6,5,6,5,6,6,6,6
3,1,1,4,5,3,4,2,3,5,4,4,6,5,4,3,5,3,5,3,6,5,6,4,5,6,4,5,4,5,5,5
1,4,1,4,4,5,4,5,5,5,4,5,4,3,2,3,4,3,4,5,4,4,4,3,4,4,4,4,5,4,4,4
3,1,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,1,2,1,6,6,6,6,6,6,4,5,4,5,5,4,6,5,4,4,5,6,6,6,5,5,5,5,3,6,6,3
4,6,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5
3,1,1,2,6,5,4,4,5,6,4,5,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,6,4,6,4
3,1,1,2,6,6,3,6,5,5,6,6,6,6,6,5,5,4,5,4,6,4,3,5,3,5,5,5,4,6,6,6
5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,3,4
3,8,2,2,2,3,6,6,6,4,3,2,4,2,4,5,2,4,2,4,3,5,4,2,5,2,3,2,4,3,3,4
2,8,2,2,6,3,4,4,4,4,4,3,2,1,2,2,4,2,6,4,4,4,3,3,3,3,3,3,3,3,4,4
2,1,1,2,6,6,6,4,3,4,2,4,4,4,3,3,3,5,4,4,6,4,3,5,5,4,3,5,4,4,5,3
2,8,1,4,3,3,3,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,4,4,4
3,4,1,3,6,6,5,6,6,6,6,5,6,6,6,6,6,5,6,6,2,6,4,6,6,6,6,6,6,5,6,6
1,8,1,2,4,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4
3,4,2,2,5,5,6,5,5,5,5,5,5,4,5,6,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5
1,8,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,2,3,3,3,2,3,4,3,2,2,3,3,2,2,4,6,3,5,2,3,3,2,2,4,3,4,3,3,4,3
2,8,1,3,1,1,4,2,3,1,2,2,1,3,1,3,4,3,2,2,4,2,2,4,1,1,1,3,3,1,2,2
3,1,1,2,4,5,4,5,5,4,2,2,5,5,4,4,5,2,2,5,4,4,5,5,5,3,4,5,5,5,5,4
1,1,2,3,3,1,3,5,3,3,4,1,1,1,1,1,4,4,4,3,3,1,1,2,4,1,1,5,1,1,1,1
1,4,2,3,5,5,3,3,6,5,4,4,4,3,2,2,4,3,4,3,4,5,5,5,4,6,5,5,5,5,5,5
2,1,1,3,2,5,5,5,5,5,5,5,5,6,6,4,5,5,4,5,4,5,3,6,6,5,5,4,4,4,5,5
